[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************

=====================
DDP

=====================
DDP


====================================
DDP


====================================
DDP
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False

Gradient accumulation steps needed with B: 16 and T: 1024 for total batch size: 524288 = 16
total params: 124475904
loaded len : 338025
loaded len : 338025
step : 104 | loss: 4.4256463050842285 | lr: 0.0005995 | dt: 2596.07 ms | tokens/sec: 201_954.841167 | norm: 1.97
step : 105 | loss: 4.3888139724731445 | lr: 0.0005995 | dt: 2598.97 ms | tokens/sec: 201_729.521602 | norm: 1.73
step : 106 | loss: 4.395038604736328 | lr: 0.0005995 | dt: 2591.13 ms | tokens/sec: 202_339.779051 | norm: 1.78
step : 107 | loss: 4.354106903076172 | lr: 0.0005995 | dt: 2599.94 ms | tokens/sec: 201_653.509706 | norm: 1.26
step : 108 | loss: 4.379093170166016 | lr: 0.0005995 | dt: 2594.88 ms | tokens/sec: 202_046.765894 | norm: 2.82
step : 109 | loss: 4.3506855964660645 | lr: 0.0005995 | dt: 2599.22 ms | tokens/sec: 201_709.888803 | norm: 1.85
step : 110 | loss: 4.3198676109313965 | lr: 0.0005995 | dt: 2596.51 ms | tokens/sec: 201_920.293615 | norm: 2.81
step : 111 | loss: 4.343290328979492 | lr: 0.0005995 | dt: 2598.11 ms | tokens/sec: 201_795.664692 | norm: 2.10
step : 112 | loss: 4.307811260223389 | lr: 0.0005995 | dt: 2596.35 ms | tokens/sec: 201_932.716763 | norm: 2.00
step : 113 | loss: 4.306704044342041 | lr: 0.0005994 | dt: 2595.93 ms | tokens/sec: 201_965.469280 | norm: 2.26
step : 114 | loss: 4.250819683074951 | lr: 0.0005994 | dt: 2594.69 ms | tokens/sec: 202_061.692536 | norm: 2.34
step : 115 | loss: 4.260648727416992 | lr: 0.0005994 | dt: 2598.05 ms | tokens/sec: 201_800.294296 | norm: 2.37
step : 116 | loss: 4.237851142883301 | lr: 0.0005994 | dt: 2592.14 ms | tokens/sec: 202_260.664934 | norm: 1.66
step : 117 | loss: 4.216651916503906 | lr: 0.0005994 | dt: 2599.22 ms | tokens/sec: 201_709.814794 | norm: 2.33
step : 118 | loss: 4.1960673332214355 | lr: 0.0005994 | dt: 2591.36 ms | tokens/sec: 202_321.255850 | norm: 1.95
step : 119 | loss: 4.1701836585998535 | lr: 0.0005994 | dt: 2601.70 ms | tokens/sec: 201_517.224047 | norm: 2.11
step : 120 | loss: 4.151955604553223 | lr: 0.0005994 | dt: 2594.81 ms | tokens/sec: 202_052.743712 | norm: 1.32
step : 121 | loss: 4.152433395385742 | lr: 0.0005994 | dt: 2596.97 ms | tokens/sec: 201_884.312199 | norm: 2.30
step : 122 | loss: 4.121458053588867 | lr: 0.0005993 | dt: 2598.63 ms | tokens/sec: 201_755.414612 | norm: 2.04
step : 123 | loss: 4.124955177307129 | lr: 0.0005993 | dt: 2596.24 ms | tokens/sec: 201_941.098615 | norm: 3.16
step : 124 | loss: 4.077203750610352 | lr: 0.0005993 | dt: 2592.80 ms | tokens/sec: 202_209.537031 | norm: 1.93
step : 125 | loss: 4.085769176483154 | lr: 0.0005993 | dt: 2607.98 ms | tokens/sec: 201_032.123620 | norm: 3.19
step : 126 | loss: 4.080506801605225 | lr: 0.0005993 | dt: 2597.52 ms | tokens/sec: 201_841.766499 | norm: 2.02
step : 127 | loss: 4.021237373352051 | lr: 0.0005993 | dt: 2598.57 ms | tokens/sec: 201_760.245996 | norm: 2.59
step : 128 | loss: 4.0955915451049805 | lr: 0.0005993 | dt: 2595.48 ms | tokens/sec: 202_000.459071 | norm: 2.94
step : 129 | loss: 4.0181355476379395 | lr: 0.0005993 | dt: 2605.36 ms | tokens/sec: 201_234.099728 | norm: 1.84
step : 130 | loss: 4.095422744750977 | lr: 0.0005992 | dt: 2599.55 ms | tokens/sec: 201_683.951983 | norm: 4.27
step : 131 | loss: 4.038806915283203 | lr: 0.0005992 | dt: 2598.44 ms | tokens/sec: 201_770.242695 | norm: 2.30
step : 132 | loss: 4.023094177246094 | lr: 0.0005992 | dt: 2592.26 ms | tokens/sec: 202_251.605469 | norm: 4.12
step : 133 | loss: 3.9933366775512695 | lr: 0.0005992 | dt: 2601.73 ms | tokens/sec: 201_514.767976 | norm: 2.38
step : 134 | loss: 4.004421234130859 | lr: 0.0005992 | dt: 2597.72 ms | tokens/sec: 201_826.205479 | norm: 4.51
step : 135 | loss: 3.96555495262146 | lr: 0.0005992 | dt: 2601.36 ms | tokens/sec: 201_543.579791 | norm: 2.91
step : 136 | loss: 3.9638609886169434 | lr: 0.0005992 | dt: 2594.32 ms | tokens/sec: 202_090.976697 | norm: 3.42
step : 137 | loss: 3.9419262409210205 | lr: 0.0005992 | dt: 2600.17 ms | tokens/sec: 201_635.832991 | norm: 2.98
step : 138 | loss: 3.904857635498047 | lr: 0.0005991 | dt: 2597.37 ms | tokens/sec: 201_853.550010 | norm: 2.50
step : 139 | loss: 3.8747406005859375 | lr: 0.0005991 | dt: 2599.32 ms | tokens/sec: 201_701.840645 | norm: 2.93
step : 140 | loss: 3.887849807739258 | lr: 0.0005991 | dt: 2596.37 ms | tokens/sec: 201_930.825379 | norm: 3.52
step : 141 | loss: 3.8575401306152344 | lr: 0.0005991 | dt: 2603.93 ms | tokens/sec: 201_344.632400 | norm: 2.72
step : 142 | loss: 3.8107616901397705 | lr: 0.0005991 | dt: 2602.03 ms | tokens/sec: 201_491.816766 | norm: 2.45
step : 143 | loss: 3.799440860748291 | lr: 0.0005991 | dt: 2597.27 ms | tokens/sec: 201_860.850549 | norm: 2.83
step : 144 | loss: 3.795210838317871 | lr: 0.0005991 | dt: 2603.23 ms | tokens/sec: 201_399.215692 | norm: 2.56
step : 145 | loss: 3.752762794494629 | lr: 0.0005990 | dt: 2602.68 ms | tokens/sec: 201_441.741086 | norm: 2.20
step : 146 | loss: 3.7499051094055176 | lr: 0.0005990 | dt: 2596.81 ms | tokens/sec: 201_896.693846 | norm: 3.86
step : 147 | loss: 3.7573399543762207 | lr: 0.0005990 | dt: 2601.04 ms | tokens/sec: 201_568.279552 | norm: 3.02
step : 148 | loss: 3.722216844558716 | lr: 0.0005990 | dt: 2599.48 ms | tokens/sec: 201_689.316399 | norm: 2.85
step : 149 | loss: 3.6992785930633545 | lr: 0.0005990 | dt: 2599.53 ms | tokens/sec: 201_685.820247 | norm: 2.55
step : 150 | loss: 3.7434964179992676 | lr: 0.0005990 | dt: 2593.95 ms | tokens/sec: 202_119.786330 | norm: 5.95
step : 151 | loss: 3.667300224304199 | lr: 0.0005990 | dt: 2602.15 ms | tokens/sec: 201_482.290687 | norm: 2.55
step : 152 | loss: 3.7019152641296387 | lr: 0.0005989 | dt: 2592.26 ms | tokens/sec: 202_251.307841 | norm: 4.99
step : 153 | loss: 3.687793731689453 | lr: 0.0005989 | dt: 2597.95 ms | tokens/sec: 201_808.665159 | norm: 3.98
step : 154 | loss: 3.648043155670166 | lr: 0.0005989 | dt: 2594.85 ms | tokens/sec: 202_049.587677 | norm: 3.94
step : 155 | loss: 3.6660099029541016 | lr: 0.0005989 | dt: 2601.02 ms | tokens/sec: 201_570.182627 | norm: 5.51
step : 156 | loss: 3.646247148513794 | lr: 0.0005989 | dt: 2589.46 ms | tokens/sec: 202_470.039820 | norm: 3.91
step : 157 | loss: 3.6262476444244385 | lr: 0.0005989 | dt: 2590.59 ms | tokens/sec: 202_381.473313 | norm: 4.56
step : 158 | loss: 3.6208643913269043 | lr: 0.0005988 | dt: 2588.25 ms | tokens/sec: 202_564.785323 | norm: 4.30
step : 159 | loss: 3.559377908706665 | lr: 0.0005988 | dt: 2598.72 ms | tokens/sec: 201_748.899090 | norm: 3.86
step : 160 | loss: 3.5687360763549805 | lr: 0.0005988 | dt: 2598.53 ms | tokens/sec: 201_763.670679 | norm: 4.67
step : 161 | loss: 3.5660834312438965 | lr: 0.0005988 | dt: 2600.16 ms | tokens/sec: 201_637.164184 | norm: 4.38
step : 162 | loss: 3.4919066429138184 | lr: 0.0005988 | dt: 2593.37 ms | tokens/sec: 202_164.568083 | norm: 2.36
step : 163 | loss: 3.512247085571289 | lr: 0.0005988 | dt: 2596.54 ms | tokens/sec: 201_918.217059 | norm: 4.67
step : 164 | loss: 3.5150158405303955 | lr: 0.0005987 | dt: 2592.33 ms | tokens/sec: 202_245.615878 | norm: 3.69
step : 165 | loss: 3.45540189743042 | lr: 0.0005987 | dt: 2596.17 ms | tokens/sec: 201_947.051637 | norm: 2.66
step : 166 | loss: 3.5145554542541504 | lr: 0.0005987 | dt: 2593.54 ms | tokens/sec: 202_151.503140 | norm: 6.09
step : 167 | loss: 3.4777450561523438 | lr: 0.0005987 | dt: 2600.45 ms | tokens/sec: 201_614.406903 | norm: 3.97
step : 168 | loss: 3.4846129417419434 | lr: 0.0005987 | dt: 2589.37 ms | tokens/sec: 202_477.142658 | norm: 5.61
step : 169 | loss: 3.4075961112976074 | lr: 0.0005987 | dt: 2593.54 ms | tokens/sec: 202_151.224390 | norm: 3.57
step : 170 | loss: 3.478367805480957 | lr: 0.0005986 | dt: 2593.69 ms | tokens/sec: 202_139.944954 | norm: 5.61
step : 171 | loss: 3.4636940956115723 | lr: 0.0005986 | dt: 2600.96 ms | tokens/sec: 201_574.635593 | norm: 5.02
